INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.0226562,0.0765563,0.0738219,0.0796813,824,14
0.00195312,0.0241211,0.100879,0.0976562,0.102539,445,158
0.00292969,0.0316406,0.111449,0.10598,0.114769,824,694
0.00390625,0.0330078,0.124482,0.118428,0.128193,824,694
0.00488281,0.0410156,0.128635,0.1218,0.133518,824,694
0.00585938,0.04375,0.136531,0.130477,0.141219,824,216
0.00683594,0.0492187,0.140568,0.133146,0.146818,824,216
0.0078125,0.0501953,0.14823,0.140808,0.15448,824,216
0.00878906,0.0514648,0.154906,0.147777,0.161449,824,216
0.00976562,0.0538086,0.159938,0.154177,0.164919,824,216
0.0107422,0.0599609,0.160686,0.150334,0.167912,276,14
0.0117188,0.0616211,0.165519,0.155851,0.173429,276,534
0.0126953,0.0682617,0.16502,0.155157,0.173712,276,216
0.0136719,0.0709961,0.16812,0.160015,0.177593,276,5
0.0146484,0.0772461,0.167433,0.158742,0.177296,276,5
0.015625,0.0782227,0.171777,0.163086,0.181641,276,5
0.0166016,0.0847656,0.170338,0.163307,0.178932,694,5
0.0175781,0.0856445,0.174366,0.167237,0.182862,694,5
0.0185547,0.0921875,0.172551,0.16513,0.181731,709,534
0.0195312,0.0936523,0.175652,0.168718,0.186297,709,534
0.0205078,0.0996094,0.174111,0.162392,0.183876,694,534
0.0214844,0.102539,0.175458,0.16374,0.186201,276,5
0.0224609,0.109473,0.172675,0.163007,0.184491,824,5
0.0234375,0.110449,0.175729,0.166061,0.187546,824,5
0.0244141,0.117871,0.172228,0.15924,0.185607,276,445
0.0253906,0.119727,0.17419,0.162081,0.188448,276,445
0.0263672,0.121094,0.176544,0.164825,0.191192,276,445
0.0273438,0.122949,0.178319,0.166502,0.193846,824,445
0.0283203,0.130273,0.174539,0.164187,0.192508,824,445
0.0292969,0.132617,0.175659,0.164722,0.194995,824,445
0.0302734,0.140527,0.171137,0.160297,0.191547,276,445
0.03125,0.141211,0.173769,0.162637,0.193887,276,445
0.0322266,0.148828,0.1694,0.154165,0.192251,276,445
0.0332031,0.14873,0.17268,0.160277,0.193481,694,445
0.0341797,0.155371,0.16916,0.160468,0.188789,694,445
0.0351562,0.153809,0.173784,0.162554,0.190874,694,445
0.0361328,0.159082,0.171516,0.1597,0.188997,694,445
0.0371094,0.161426,0.172124,0.157769,0.189996,694,445
0.0380859,0.168652,0.167798,0.152857,0.184107,694,445
0.0390625,0.169922,0.16938,0.155708,0.185982,694,445
0.0400391,0.172461,0.169646,0.157536,0.18781,694,445
0.0410156,0.175488,0.169377,0.159319,0.185686,694,445
0.0419922,0.180762,0.166819,0.159105,0.182542,824,534
0.0429688,0.183887,0.166368,0.154942,0.182286,276,534
0.0439453,0.185547,0.167342,0.156599,0.180037,276,445
0.0449219,0.187988,0.167495,0.158218,0.180679,276,445
0.0458984,0.194043,0.163998,0.155892,0.1764,824,445
0.046875,0.19502,0.165543,0.157437,0.176969,824,445
0.0478516,0.201758,0.161291,0.151135,0.171643,824,445
0.0488281,0.204883,0.160619,0.150658,0.174096,824,445
0.0498047,0.211035,0.156888,0.14429,0.174563,824,445
0.0507812,0.2125,0.157812,0.144726,0.175,824,445
0.0517578,0.217871,0.1548,0.142202,0.172475,824,445
0.0527344,0.218652,0.156348,0.143555,0.174805,824,445
0.0537109,0.224902,0.152398,0.137066,0.175152,824,445
0.0546875,0.22666,0.152913,0.138363,0.176449,824,445
0.0556641,0.233594,0.148226,0.134749,0.169906,824,445
0.0566406,0.23623,0.147809,0.135993,0.168219,824,445
0.0576172,0.24248,0.143754,0.129398,0.167484,824,445
0.0585938,0.244629,0.143775,0.129615,0.165748,824,445
0.0595703,0.251074,0.139476,0.123948,0.160081,824,445
0.0605469,0.25293,0.139743,0.122165,0.160251,824,445
0.0615234,0.253711,0.141062,0.122312,0.161374,824,445
0.0625,0.254395,0.142456,0.124389,0.161499,824,445
0.0634766,0.254492,0.144414,0.125469,0.162578,824,445
0.0644531,0.25625,0.144692,0.125551,0.162661,824,445
0.0654297,0.256641,0.146316,0.127566,0.165652,824,445
0.0664062,0.256934,0.148018,0.128584,0.174483,824,445
0.0673828,0.263184,0.143743,0.119818,0.171575,824,445
0.0683594,0.266113,0.14277,0.121774,0.171579,824,445
0.0693359,0.270996,0.139825,0.121759,0.165704,824,445
0.0703125,0.269141,0.1436,0.124655,0.166647,824,445
0.0712891,0.269043,0.1456,0.127534,0.166596,824,445
0.0722656,0.268848,0.14768,0.134301,0.170434,14,445
0.0732422,0.273535,0.14486,0.132263,0.167419,14,445
0.0742188,0.274707,0.14554,0.133138,0.165364,14,445
0.0751953,0.280176,0.141906,0.132043,0.155481,709,445
0.0761719,0.281738,0.142163,0.129956,0.156323,694,445
