INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.198926,0.0997132,0.0951234,0.102936,276,445
0.00195312,0.201172,0.0761719,0.0703125,0.0810547,276,445
0.00292969,0.206152,0.0630631,0.0551529,0.0668717,276,445
0.00390625,0.207031,0.0495411,0.0417286,0.0544239,276,445
0.00488281,0.213965,0.0443137,0.0364036,0.051052,276,14
0.00585938,0.216699,0.036418,0.0306563,0.0423751,709,14
0.00683594,0.221582,0.0317952,0.0270101,0.0387288,709,694
0.0078125,0.222168,0.0237428,0.0183717,0.0300905,709,694
0.00878906,0.223145,0.0167741,0.0104264,0.0221452,709,694
0.00976562,0.225391,0.0116436,0.00597957,0.0186749,709,694
0.0107422,0.230859,0.0102126,0.00200948,0.0176345,534,694
0.0117188,0.232031,0.00559263,0.00137555,0.0121177,5,694
0.0126953,0.237988,0.00544099,0.00011649,0.0137884,216,694
0.0136719,0.24043,0.00412985,0.000141415,0.00893048,158,14
0.0146484,0.245898,0.00479522,0.000538603,0.0111801,709,14
0.015625,0.246777,0.00595703,2.77556e-17,0.00976562,276,5
0.0166016,0.251074,0.00687066,0.00217376,0.00954499,445,694
0.0175781,0.251855,0.00942426,0.00073171,0.0139167,14,534
0.0185547,0.257227,0.00942932,0.00186259,0.0157155,14,216
0.0195312,0.258301,0.0118302,0.00172621,0.0183278,14,534
0.0205078,0.262988,0.0122377,0.00321213,0.0188371,14,824
0.0214844,0.265137,0.0135113,0.00325249,0.0192084,694,158
0.0224609,0.270898,0.0118507,0.00089734,0.0204286,14,158
0.0234375,0.27168,0.0144989,4.57481e-05,0.0234832,694,158
0.0244141,0.277051,0.0130485,0.00201336,0.0205681,14,445
0.0253906,0.278809,0.0151082,0.00290121,0.023409,694,445
0.0263672,0.280078,0.0175596,0.00564551,0.0261533,14,445
0.0273438,0.281934,0.0193342,0.00829903,0.0288068,14,445
0.0283203,0.288672,0.0161406,0.00598431,0.0284452,14,445
0.0292969,0.290527,0.0177492,0.0065187,0.0319093,14,445
0.0302734,0.297363,0.0143012,0.00209412,0.0284613,14,445
0.03125,0.298242,0.0167381,0.00345682,0.0308006,14,445
0.0322266,0.304492,0.0139572,0.000844898,0.0281886,694,445
0.0332031,0.304688,0.0167227,0.0010977,0.029418,14,445
0.0341797,0.310547,0.013984,0.00128869,0.0276559,14,216
0.0351562,0.308984,0.0186083,0.00337392,0.0375536,14,216
0.0361328,0.313281,0.017317,0.00247328,0.0307936,14,216
0.0371094,0.315332,0.0182182,0.00444864,0.0337455,14,216
0.0380859,0.320508,0.015943,0.00344298,0.0307867,14,216
0.0390625,0.32168,0.0176225,0.00531783,0.0336381,14,216
0.0400391,0.324023,0.018083,0.00616898,0.0286299,694,216
0.0410156,0.326367,0.0184983,0.00502177,0.0304124,14,216
0.0419922,0.330371,0.01721,0.000901423,0.0282452,14,216
0.0429688,0.333008,0.0173133,0.000331021,0.0299424,14,216
0.0439453,0.334863,0.0180252,0.00132601,0.0315994,14,216
0.0449219,0.337305,0.0181787,0.00294431,0.0302881,14,216
0.0458984,0.341504,0.016537,0.00061902,0.0260096,14,445
0.046875,0.342383,0.0181796,0.00216396,0.0275546,14,445
0.0478516,0.348438,0.0148533,0.0012087,0.026135,14,216
0.0488281,0.351172,0.0144721,0.00070872,0.0246819,14,445
0.0498047,0.355859,0.0120635,0.000735332,0.026126,14,445
0.0507812,0.357031,0.0132808,0.00214795,0.026562,14,445
0.0517578,0.361719,0.010952,0.000600435,0.0250145,14,445
0.0527344,0.362207,0.012793,0.00195312,0.0273438,14,445
0.0537109,0.368066,0.0100718,0.00160558,0.0276913,709,445
0.0546875,0.369238,0.0108496,0.000309191,0.0299642,709,445
0.0556641,0.374707,0.0094629,0.000960297,0.0234212,534,445
0.0566406,0.377051,0.0103541,0.000726022,0.0217349,709,445
0.0576172,0.381836,0.00898585,0.0024451,0.0209998,824,445
0.0585938,0.383594,0.00926788,0.00363844,0.02024,824,445
0.0595703,0.387402,0.00887172,7.50144e-05,0.0186297,5,14
0.0605469,0.389551,0.00949155,9.44565e-05,0.0174837,5,14
0.0615234,0.390234,0.0100574,0.000241225,0.0187959,824,445
0.0625,0.390625,0.0109617,0.00134245,0.0198971,824,445
0.0634766,0.39043,0.0121955,0.00242214,0.02293,824,158
0.0644531,0.391992,0.0128307,0.00250429,0.0239887,824,158
0.0654297,0.392676,0.0139419,0.00354255,0.0289332,824,276
0.0664062,0.393359,0.0150412,0.00456085,0.030928,824,445
0.0673828,0.398926,0.0135143,0.00225281,0.0319269,534,276
0.0683594,0.401172,0.0132812,0.000296399,0.0319302,694,276
0.0693359,0.40498,0.0125977,0.00128822,0.0280087,824,276
0.0703125,0.403613,0.0146081,0.000631531,0.030905,824,276
0.0712891,0.403418,0.0157595,0.00253359,0.0367133,534,276
0.0722656,0.403613,0.0160299,0.00246523,0.0337152,694,276
0.0732422,0.40752,0.0143309,0.00140341,0.0297237,534,276
0.0742188,0.408203,0.0149738,0.000651512,0.0315751,694,276
0.0751953,0.412598,0.0119407,0.000207089,0.0265743,694,276
0.0761719,0.413965,0.0122364,0.00187982,0.0283936,694,276
0.0771484,0.420508,0.00975043,0.00300565,0.0233615,694,276
0.078125,0.421289,0.00971755,0.00121695,0.0241737,534,276
0.0791016,0.423926,0.00860747,0.000419659,0.0171585,534,158
0.0800781,0.424805,0.00873899,0.000363093,0.0179412,534,158
0.0810547,0.428027,0.0102849,0.00277465,0.0196863,694,158
0.0820312,0.428906,0.0103382,0.00104354,0.0204408,694,158
0.0830078,0.434473,0.0100586,0.000302685,0.0169042,5,709
0.0839844,0.436328,0.0103516,0.00250493,0.0171534,5,709
0.0849609,0.440625,0.0105144,0.000814084,0.023275,824,709
0.0859375,0.441211,0.0107196,0.00108927,0.0235502,824,709
0.0869141,0.442578,0.0102715,0.00137712,0.0218849,824,709
0.0878906,0.443457,0.0106997,0.000700837,0.0221852,824,709
0.0888672,0.444434,0.00926264,0.0038695,0.0215211,824,709
0.0898438,0.446094,0.00923052,0.00354505,0.0228221,694,709
0.0908203,0.451367,0.00929135,0.000279147,0.0290177,694,709
0.0917969,0.453223,0.0100449,0.00104518,0.0322952,694,709
0.0927734,0.458105,0.0103395,0.00140428,0.0375371,694,709
0.09375,0.45752,0.0108041,0.000797977,0.0369308,824,709
0.0947266,0.45957,0.0100015,0.000202623,0.0363354,445,709
0.0957031,0.460352,0.010428,0.000594599,0.0357508,824,709
0.0966797,0.462988,0.0100627,2.05961e-05,0.0351768,824,709
0.0976562,0.460547,0.0117406,0.000543,0.0346133,824,709
0.0986328,0.461914,0.0117667,0.000119799,0.0340599,824,709
0.0996094,0.462891,0.0119213,0.000663096,0.0335166,824,709
0.100586,0.46543,0.0123927,0.00217305,0.0349363,158,709
0.101562,0.466406,0.0126021,0.00269671,0.0344127,158,709
0.102539,0.467871,0.0123195,0.00125765,0.0338986,158,709
0.103516,0.469434,0.0121307,0.000785719,0.0343705,158,709
0.104492,0.47373,0.0115602,0.00067206,0.0358283,445,709
0.105469,0.473828,0.0110956,0.000185856,0.0353421,694,709
0.106445,0.476855,0.0119534,0.000685217,0.0348649,445,709
0.107422,0.477148,0.0131293,0.00021688,0.0353731,445,709
0.108398,0.48125,0.0130374,0.000242727,0.0407729,445,709
0.109375,0.481934,0.0132402,0.000282829,0.0403219,216,709
0.110352,0.486523,0.0140306,0.000159705,0.0457387,445,709
0.111328,0.488477,0.0137484,0.000593891,0.0472577,445,709
0.112305,0.491797,0.0144358,4.32893e-05,0.0478083,445,709
0.113281,0.493262,0.01486,0.00051542,0.0473904,445,709
0.114258,0.496289,0.0162743,0.000105558,0.0469806,445,709
0.115234,0.497559,0.016776,0.00224955,0.0465786,445,709
0.116211,0.498633,0.0163253,0.00264377,0.0461844,445,709
0.117188,0.499902,0.0162683,0.00205377,0.0457978,445,709
0.118164,0.502637,0.0172886,0.00145621,0.0454188,445,709
0.119141,0.504492,0.017433,0.00182777,0.0440707,445,709
0.120117,0.507324,0.0181184,0.000737702,0.0456596,445,709
0.121094,0.508594,0.0180019,0.00157239,0.0453026,5,709
0.12207,0.508398,0.0173952,0.0019222,0.048859,5,709
0.123047,0.509277,0.0171604,0.00324153,0.0485163,5,709
0.124023,0.511816,0.0185886,0.00455389,0.0481805,5,709
0.125,0.513574,0.0180664,0.00292969,0.0439453,5,534
0.125977,0.513574,0.0179375,0.00520496,0.0436232,5,709
0.126953,0.515723,0.0183973,0.00552041,0.0433077,5,709
0.12793,0.516113,0.0176878,0.00582925,0.0429989,5,709
0.128906,0.516797,0.0178599,0.00461062,0.0426966,216,709
0.129883,0.517578,0.0175462,0.00431475,0.0433772,216,709
0.130859,0.516504,0.0224109,0.00207211,0.0450409,216,534
0.131836,0.516504,0.0209304,0.00276545,0.0437811,216,709
0.132812,0.516992,0.0207219,0.00248842,0.0443866,216,5
0.133789,0.517773,0.0206136,0.000264408,0.0461628,216,534
0.134766,0.517871,0.0198241,0.000976991,0.0449223,216,5
0.135742,0.519531,0.0194275,0.00071728,0.043686,216,709
0.136719,0.521582,0.019424,0.00241746,0.0424565,216,709
0.137695,0.522559,0.0195205,0.0011938,0.0422094,216,709
0.138672,0.523926,0.0190333,0.000952469,0.0439212,216,534
0.139648,0.525098,0.0185485,0.000716844,0.0446622,216,534
0.140625,0.526172,0.0186521,0.000489706,0.0454087,216,534
0.141602,0.526465,0.0183142,0.00071412,0.0432312,216,534
0.142578,0.52793,0.0177909,0.0010201,0.0430123,216,534
0.143555,0.528906,0.0170855,0.000806642,0.0427988,694,534
0.144531,0.531348,0.0176443,0.00157513,0.0394405,445,5
0.145508,0.531543,0.0163508,0.00137238,0.0376901,445,5
0.146484,0.536816,0.0193573,0.00215146,0.0392608,694,534
0.147461,0.537305,0.0185583,0.000982619,0.0400451,694,534
0.148438,0.532813,0.0139901,0.00274861,0.038267,445,5
0.149414,0.533301,0.0140149,0.00256658,0.038449,445,5
0.150391,0.533984,0.0134558,0.00141302,0.038626,445,5
0.151367,0.53418,0.0126058,0.001241,0.0387981,276,5
0.152344,0.535059,0.0134178,0.00205048,0.0409183,276,5
0.15332,0.53584,0.0135612,0.00104142,0.0410805,276,5
0.154297,0.538672,0.0153408,0.00368401,0.0412379,445,5
0.155273,0.539551,0.0147915,0.00548452,0.0413905,445,5
0.15625,0.540625,0.0144393,0.00533664,0.0405618,445,5
0.157227,0.540527,0.0133078,0.000310618,0.040705,445,5
0.158203,0.542773,0.0123735,0.0011486,0.0388905,445,5
0.15918,0.54248,0.01241,0.00289165,0.040001,445,5
0.160156,0.543555,0.012677,0.001068,0.0401305,445,5
0.161133,0.543652,0.0117731,0.00119298,0.0402555,445,5
0.162109,0.548926,0.0140254,0.00454585,0.0364698,445,5
0.163086,0.550488,0.0137836,0.00442971,0.0346328,445,5
0.164062,0.551074,0.0133483,0.00431792,0.0347446,445,5
0.165039,0.55127,0.012524,0.00030419,0.0348521,534,5
0.166016,0.555566,0.0148265,0.00370527,0.0349553,694,5
0.166992,0.551562,0.0158203,0.00282769,0.0340777,14,5
0.167969,0.550684,0.0161133,0.0029225,0.0400319,14,5
0.168945,0.551855,0.0165039,0.00301315,0.0401225,14,5
0.169922,0.55293,0.0166016,0.0030997,0.0402091,14,5
0.170898,0.554785,0.0168945,0.000252501,0.0402916,14,5
0.171875,0.556055,0.0164063,0.00130752,0.0393935,14,5
0.172852,0.555957,0.015918,0.00235856,0.0404445,14,5
0.173828,0.559668,0.0170898,0.000475949,0.0395384,14,5
0.174805,0.559961,0.0173828,0.00347224,0.0405816,14,5
0.175781,0.561914,0.0173828,0.00548809,0.0386912,14,5
0.176758,0.562109,0.0177734,0.00554698,0.0387501,14,5
0.177734,0.566309,0.0166992,0.00169581,0.0329458,445,5
0.178711,0.566113,0.0161133,0.00174711,0.0320205,445,5
0.179688,0.567285,0.0165039,0.00277124,0.0320681,445,5
0.180664,0.568164,0.0162109,0.00379167,0.0311354,445,5
0.181641,0.570117,0.0154446,7.4388e-05,0.0282459,445,5
0.182617,0.571582,0.015332,0.00093873,0.0312878,534,158
0.183594,0.571094,0.0160156,0.000981445,0.0283154,445,5
0.18457,0.571973,0.0161133,0.000952068,0.0283448,445,5
0.185547,0.573047,0.0160156,0.000926233,0.0273941,445,5
0.186523,0.574707,0.0157227,0.00300234,0.0272711,14,158
0.1875,0.575195,0.0158203,0.00302118,0.0282288,14,158
0.188477,0.575488,0.015918,0.00379936,0.0284272,445,5
0.189453,0.575977,0.015625,0.00281083,0.0284392,445,5
0.19043,0.576367,0.0162109,0.00280224,0.0304009,445,5
