INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.0947266,0.456641,0.0107422,0.000773939,0.0212818,216,5
0.0957031,0.457422,0.0107422,0.000381964,0.0218663,216,5
0.0966797,0.460059,0.0110352,0.00193253,0.0195518,216,709
0.0976562,0.461426,0.0106445,0.00249612,0.0210508,216,5
0.0986328,0.462891,0.0107422,0.00207292,0.0216042,216,5
0.0996094,0.463672,0.0105469,0.00163966,0.0221475,216,5
0.100586,0.466113,0.00986328,0.000219929,0.0217043,216,5
0.101562,0.466992,0.00976562,0.000743582,0.022228,216,5
0.102539,0.468359,0.00976562,0.00125765,0.022742,216,5
0.103516,0.469922,0.00957031,0.000785719,0.0232467,216,5
0.104492,0.475,0.00911879,0.000304503,0.023133,445,709
0.105469,0.475098,0.00931452,0.00176727,0.0222751,445,5
0.106445,0.477832,0.00921907,0.00126791,0.0202165,445,709
0.107422,0.478809,0.00947266,0.000759683,0.0207247,158,709
0.108398,0.48252,0.012207,0.00219585,0.0261245,445,709
0.109375,0.483203,0.0125,0.00264686,0.0256735,158,709
0.110352,0.486914,0.0122727,0.000159705,0.0281606,158,709
0.111328,0.489063,0.0125765,0.000593891,0.0296795,158,709
0.112305,0.492676,0.0125717,0.000933273,0.0302301,158,709
0.113281,0.494141,0.0126139,0.000461143,0.0298123,445,709
0.114258,0.497461,0.0145165,0.000105558,0.0294024,158,709
0.115234,0.498535,0.0147636,0.0016567,0.029977,158,534
0.116211,0.499512,0.0147223,0.00126248,0.0295828,158,534
0.117188,0.500879,0.0146857,0.00185248,0.0301728,158,534
0.118164,0.503516,0.0161185,0.00245004,0.0346766,158,534
0.119141,0.505176,0.0165791,0.00305504,0.0333285,158,534
0.120117,0.50791,0.0169465,0.00121542,0.0339408,445,534
0.121094,0.50918,0.0166347,0.000595826,0.0335839,445,534
0.12207,0.508203,0.0183779,0.00296061,0.0361637,445,694
0.123047,0.509082,0.0182699,0.00261785,0.0367975,445,694
0.124023,0.51123,0.019045,0.0061883,0.0335321,158,694
0.125,0.512988,0.0176758,0.00292969,0.0341797,158,534
0.125977,0.512695,0.0179708,0.00651379,0.0319044,158,534
0.126953,0.514453,0.0181721,0.00717491,0.031589,158,694
0.12793,0.514551,0.0171079,3.01263e-05,0.0303036,158,694
0.128906,0.516113,0.0175669,0.00124875,0.0319544,158,694
0.129883,0.516504,0.0170579,0.00154463,0.0316585,158,694
0.130859,0.519043,0.0186999,0.00476383,0.0362518,158,534
0.131836,0.519043,0.0174148,0.00374201,0.034992,445,534
0.132812,0.519531,0.0172063,0.00346499,0.0337384,445,694
0.133789,0.520215,0.0171956,0.00221753,0.0373738,445,534
0.134766,0.520312,0.0162108,0.0019527,0.0341793,445,534
0.135742,0.521973,0.0160096,0.00267041,0.0339204,445,534
0.136719,0.524219,0.0162014,0.00534715,0.0356206,445,534
0.137695,0.525586,0.0166885,0.00607661,0.0373266,445,534
0.138672,0.527246,0.0168849,0.00485872,0.040015,445,534
0.139648,0.528223,0.0165953,0.00462309,0.0407559,445,534
0.140625,0.526074,0.0177732,0.00439596,0.0415025,158,534
0.141602,0.52627,0.0173376,0.00319213,0.0393249,445,534
0.142578,0.52793,0.0166103,0.00386271,0.0400826,158,534
0.143555,0.528809,0.0164699,0.00275977,0.0398691,445,534
0.144531,0.531738,0.016233,0.000377994,0.0406376,158,694
0.145508,0.531934,0.0154112,0.00137238,0.0375052,445,694
0.146484,0.536523,0.0164856,0.00410458,0.0402374,158,534
0.147461,0.537402,0.016311,0.00293574,0.0419982,158,534
0.148438,0.53623,0.0144784,0.000795489,0.0418111,445,534
0.149414,0.536816,0.0146009,0.000613453,0.0416291,445,534
0.150391,0.537109,0.0143451,0.00151667,0.0404755,445,534
0.151367,0.537402,0.0140177,0.000712124,0.0403035,445,534
0.152344,0.538867,0.0135155,0.00107391,0.0420895,445,534
0.15332,0.535547,0.0122917,0.000911706,0.0419273,445,534
0.154297,0.537988,0.0131391,0.000754322,0.0417699,445,534
0.155273,0.538867,0.0126953,0.00037485,0.0416173,824,534
0.15625,0.536914,0.0157158,0.000453827,0.044468,824,5
0.157227,0.536816,0.0160512,0.000665944,0.0446113,824,5
0.158203,0.539258,0.0142234,0.000804526,0.0427967,445,5
0.15918,0.539062,0.0144455,0.00289165,0.0439073,824,5
0.160156,0.540234,0.0150573,0.000885127,0.0450133,158,5
0.161133,0.54043,0.0143011,0.000760144,0.0451383,158,5
0.162109,0.545996,0.0163086,0.000336959,0.0413526,824,5
0.163086,0.544141,0.0123047,0.00142966,0.0395156,824,5
0.164062,0.542285,0.0129059,0.00138823,0.0396274,534,5
0.165039,0.542676,0.0130619,0.00164893,0.0397349,824,5
0.166016,0.546973,0.0137695,0.00410723,0.0408146,534,5
0.166992,0.549316,0.0145508,0.00282769,0.0399371,14,5
0.167969,0.548242,0.015625,0.0029225,0.0478444,14,5
0.168945,0.549316,0.015332,0.00284622,0.047935,824,5
