INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.131445,0.0322327,0.0296937,0.0345765,14,445
0.00195312,0.132812,0.0078125,0.00585938,0.0107422,5,445
0.00292969,0.139453,0.00392455,0.00144197,0.00637053,824,14
0.00390625,0.140625,0.0168651,0.0129589,0.0197948,824,14
0.00488281,0.147949,0.0217019,0.0163308,0.0251199,824,694
0.00585938,0.150586,0.0296953,0.0250078,0.0337968,824,216
0.00683594,0.155859,0.0339274,0.0276774,0.0393962,824,216
0.0078125,0.156738,0.0416869,0.0353392,0.0470579,824,216
0.00878906,0.157617,0.0487533,0.042308,0.0540267,824,216
0.00976562,0.159082,0.054665,0.0496845,0.0594501,824,216
0.0107422,0.164844,0.055803,0.0468186,0.0634202,276,14
0.0117188,0.166211,0.0609291,0.0513588,0.0679604,276,534
0.0126953,0.171875,0.0614069,0.0516413,0.0692194,276,5
0.0136719,0.174121,0.0649953,0.0564992,0.0740773,276,5
0.0146484,0.179883,0.0647964,0.0562027,0.0757339,276,5
0.015625,0.18125,0.06875,0.0605469,0.0791016,276,5
0.0166016,0.186816,0.068287,0.0627206,0.0773691,694,5
0.0175781,0.187207,0.0728034,0.0676277,0.0822761,694,5
0.0185547,0.192676,0.0720632,0.0645437,0.0811452,709,534
0.0195312,0.194434,0.0748707,0.0681325,0.0857106,709,534
0.0205078,0.199609,0.0741106,0.0657121,0.0842668,694,534
0.0214844,0.202344,0.0756538,0.0660834,0.0856147,276,5
0.0224609,0.208398,0.0737489,0.0633973,0.0848817,824,5
0.0234375,0.209375,0.0768036,0.0684051,0.0879364,824,5
0.0244141,0.215723,0.0743766,0.0635368,0.0850212,276,445
0.0253906,0.217383,0.076534,0.0663778,0.0898153,276,445
0.0263672,0.218164,0.0794736,0.0700986,0.091583,276,445
0.0273438,0.220117,0.0811506,0.0717756,0.0942365,824,445
0.0283203,0.22666,0.0781523,0.0684843,0.0938749,824,445
0.0292969,0.228711,0.0795656,0.0699953,0.0963624,824,445
0.0302734,0.235254,0.0764105,0.0675238,0.093891,824,445
0.03125,0.236426,0.0785545,0.0698631,0.0962303,276,445
0.0322266,0.243555,0.074673,0.0613918,0.0945949,276,445
0.0332031,0.243652,0.0777579,0.0665274,0.0958243,694,445
0.0341797,0.249219,0.0753121,0.0647653,0.092109,709,445
0.0351562,0.247754,0.0798388,0.0697802,0.0941942,276,445
0.0361328,0.252148,0.0784498,0.0688795,0.0932936,694,445
0.0371094,0.254199,0.079351,0.0679252,0.0942924,694,445
0.0380859,0.26084,0.0756109,0.0639899,0.090357,694,445
0.0390625,0.261426,0.0778764,0.0668413,0.0922319,694,445
0.0400391,0.26377,0.0783369,0.0676924,0.093083,694,445
0.0410156,0.266699,0.0781663,0.0694749,0.0909593,694,445
0.0419922,0.271777,0.0758038,0.0692608,0.0897686,694,534
0.0429688,0.274316,0.0759385,0.0680284,0.0904893,276,534
0.0439453,0.275879,0.0770096,0.0696854,0.0862869,276,534
0.0449219,0.277148,0.0783349,0.0713037,0.0888818,276,445
0.0458984,0.283203,0.0748378,0.0670253,0.08558,824,445
0.046875,0.283691,0.076871,0.0695468,0.0871249,824,445
0.0478516,0.289941,0.0731077,0.064221,0.0827757,824,445
0.0488281,0.291699,0.073803,0.0656975,0.0862053,824,445
0.0498047,0.297363,0.0705596,0.0603056,0.0866728,824,445
0.0507812,0.297949,0.0723628,0.0617183,0.0871089,824,445
0.0517578,0.302539,0.0701317,0.0611473,0.0855614,824,445
0.0527344,0.303613,0.0713867,0.0625,0.0869141,824,445
0.0537109,0.310156,0.0671444,0.055035,0.0872616,824,445
0.0546875,0.312402,0.0671713,0.0534017,0.088558,824,445
0.0556641,0.318945,0.0628744,0.0478353,0.082015,824,445
0.0566406,0.320801,0.0632388,0.0520084,0.0813052,824,445
0.0576172,0.326855,0.0593787,0.0463904,0.0795935,824,445
0.0585938,0.326758,0.0616463,0.0505134,0.0807869,824,445
0.0595703,0.332422,0.0581281,0.0448469,0.0751203,824,445
0.0605469,0.334277,0.0583952,0.0440398,0.0752898,824,445
0.0615234,0.334961,0.0598115,0.0471162,0.0764131,824,445
0.0625,0.336426,0.0604245,0.0482175,0.0784909,824,445
0.0634766,0.336914,0.0619925,0.0483206,0.0795706,824,445
0.0644531,0.338184,0.0627582,0.0484027,0.0796527,824,445
0.0654297,0.33916,0.0637965,0.049441,0.0826441,824,445
0.0664062,0.339844,0.0651077,0.0504593,0.0885452,824,445
0.0673828,0.345508,0.0614191,0.0426691,0.0846613,824,445
0.0683594,0.347949,0.0609341,0.045602,0.0846645,824,445
0.0693359,0.351172,0.0596493,0.0465633,0.080743,824,445
0.0703125,0.349902,0.0628386,0.0484831,0.0816862,14,445
0.0712891,0.350391,0.0642523,0.0503852,0.0816352,14,445
0.0722656,0.350488,0.0660395,0.0532465,0.085473,14,445
0.0732422,0.35459,0.0638058,0.0512081,0.080505,14,445
0.0742188,0.355957,0.0642899,0.0520829,0.0804032,14,445
0.0751953,0.360449,0.0616329,0.0500118,0.076379,709,445
0.0761719,0.361816,0.062085,0.0508546,0.0752686,709,445
0.0771484,0.367676,0.0580295,0.0487522,0.0721897,709,445
0.078125,0.368359,0.0591346,0.0515174,0.0730018,709,445
0.0791016,0.371875,0.0573928,0.0484085,0.0737991,14,445
0.0800781,0.373437,0.0575897,0.0462615,0.0726287,14,445
0.0810547,0.376172,0.0566003,0.0431238,0.0733972,14,445
0.0820312,0.377734,0.056769,0.0438783,0.0731752,14,445
0.0830078,0.383301,0.05292,0.0387598,0.0690333,14,445
0.0839844,0.383398,0.0545263,0.0443701,0.0736669,694,445
0.0849609,0.388867,0.0507484,0.0353187,0.0685219,709,445
0.0859375,0.389941,0.0513521,0.0350435,0.065317,709,445
0.0869141,0.391309,0.0516502,0.0357323,0.0650291,709,445
0.0878906,0.39248,0.0521312,0.035432,0.0657054,709,445
0.0888672,0.394043,0.0522093,0.0360961,0.0634398,709,445
0.0898438,0.395508,0.0523732,0.0357716,0.0640919,709,445
0.0908203,0.401562,0.0479354,0.029576,0.0598495,709,5
0.0917969,0.403418,0.0476853,0.0292283,0.0604783,709,5
0.0927734,0.40791,0.0447871,0.0278926,0.0630488,709,5
0.09375,0.407227,0.0470536,0.0284989,0.0665848,709,5
0.0947266,0.409668,0.0461841,0.0261646,0.0681568,709,5
0.0957031,0.41084,0.0465734,0.024796,0.0687413,709,5
0.0966797,0.414258,0.044706,0.0243935,0.0673622,709,5
0.0976562,0.415918,0.044586,0.0220274,0.0689024,709,5
0.0986328,0.417676,0.0443581,0.0225807,0.0694557,709,5
0.0996094,0.419238,0.0443154,0.0221475,0.0690225,709,5
0.100586,0.422363,0.0427004,0.0197512,0.0685793,709,5
0.101562,0.42207,0.0444936,0.0232045,0.0671498,709,5
0.102539,0.422754,0.0453006,0.0237186,0.0676639,709,5
0.103516,0.42334,0.0461959,0.0212935,0.0730513,709,5
0.104492,0.429492,0.0415154,0.0159295,0.070617,709,5
0.105469,0.430957,0.0415134,0.0164157,0.0711032,709,5
0.106445,0.432324,0.0415999,0.0178695,0.0686507,709,5
0.107422,0.433496,0.041873,0.0173612,0.0691191,709,5
0.108398,0.437988,0.0388169,0.0139146,0.0656724,709,5
0.109375,0.439355,0.0388773,0.0124125,0.0641703,709,5
0.110352,0.444336,0.035316,0.00504252,0.05973,709,5
0.111328,0.447168,0.0338947,0.00157045,0.0591876,709,5
0.112305,0.449805,0.0326605,0.00101985,0.0527777,709,5
0.113281,0.452637,0.0312229,0.000461143,0.0512424,709,5
0.114258,0.455176,0.0300702,0.00184757,0.0506757,709,5
0.115234,0.456738,0.0298863,0.00224955,0.0501011,709,5
0.116211,0.458887,0.0291086,0.00264377,0.0495188,709,5
0.117188,0.460547,0.0288116,0.00400689,0.0479522,709,5
0.118164,0.463379,0.0273351,0.00340934,0.0483312,709,5
0.119141,0.466406,0.0256559,0.0037809,0.0487028,709,5
0.120117,0.469238,0.0241646,0.00219199,0.0461373,709,5
0.121094,0.471094,0.0236427,0.00254895,0.0455177,709,5
0.12207,0.472363,0.0237057,3.09213e-05,0.0546566,709,5
0.123047,0.472266,0.0251165,0.00226496,0.0559759,709,5
0.124023,0.475391,0.0233039,0.00260076,0.053382,709,5
0.125,0.477734,0.0222656,0.00292969,0.0439453,709,5
0.125977,0.477246,0.0240526,0.00422839,0.0530565,709,5
0.126953,0.479492,0.0230985,0.00552041,0.053372,709,5
0.12793,0.480859,0.0230167,0.00680581,0.0536808,709,5
0.128906,0.482617,0.0225378,0.00710813,0.05203,534,5
0.129883,0.48125,0.0251774,0.00935713,0.0523259,534,5
0.130859,0.48457,0.0231232,0.0028107,0.0516388,534,5
0.131836,0.485156,0.0237971,0.00211737,0.0509455,534,5
0.132812,0.485645,0.0245624,0.00434751,0.0521991,534,5
0.133789,0.485449,0.0260051,0.000712155,0.0573528,534,5
0.134766,0.485742,0.0269536,0.0058598,0.0576176,534,5
0.135742,0.487891,0.0260405,0.00611866,0.0559233,709,5
0.136719,0.489746,0.0254146,0.0063716,0.0542232,694,5
0.137695,0.491211,0.0251734,0.00564214,0.0544703,534,5
0.138672,0.492871,0.0247311,0.00588347,0.053735,534,5
0.139648,0.494531,0.0242832,0.00514253,0.0529941,534,5
0.140625,0.496191,0.0238295,0.00244283,0.0532241,534,5
0.141602,0.495215,0.0260071,0.00559693,0.0544251,534,5
0.142578,0.498145,0.0242729,0.00581584,0.054644,694,5
0.143555,0.499121,0.0244863,0.00407617,0.0538809,694,5
0.144531,0.500977,0.0249118,0.00548138,0.0511592,694,5
0.145508,0.499707,0.0263435,0.000395819,0.051362,694,5
0.146484,0.504297,0.0228485,0.000778228,0.0505829,694,5
0.147461,0.50459,0.0237244,0.000970506,0.0497986,694,5
0.148438,0.50293,0.0265483,0.00897014,0.0499858,694,5
0.149414,0.503613,0.0270233,0.00817561,0.0511444,694,5
0.150391,0.505566,0.0262237,0.00737605,0.0503448,694,5
0.151367,0.506445,0.0264934,0.00950119,0.0514934,694,5
0.152344,0.508398,0.0256839,0.00966827,0.0506839,709,5
0.15332,0.509277,0.0259438,0.00983048,0.048893,709,5
0.154297,0.51123,0.0251246,0.00803474,0.0480738,534,5
0.155273,0.51123,0.0262538,0.00818735,0.0501795,534,5
0.15625,0.5125,0.0261087,0.00735867,0.051304,534,5
0.157227,0.511035,0.0286933,0.00847844,0.0504706,534,5
0.158203,0.513672,0.0271717,0.00959359,0.0486561,534,5
0.15918,0.514258,0.0276963,0.00875103,0.0507432,534,5
0.160156,0.516016,0.0270446,0.00497425,0.0489196,534,5
0.161133,0.516602,0.0275602,0.0119352,0.0490445,534,5
0.162109,0.523633,0.021626,0.00326665,0.0433057,709,5
0.163086,0.525586,0.0207656,0.00240623,0.0414687,709,5
0.164062,0.526172,0.021268,0.00447114,0.0425571,709,5
0.165039,0.525488,0.0230357,0.00457862,0.041688,709,5
0.166016,0.530371,0.0192326,0.00468183,0.0417912,709,5
0.166992,0.53252,0.0181597,0.00478082,0.0409136,709,5
0.167969,0.530762,0.0209889,0.00780531,0.0488209,14,5
0.168945,0.531152,0.0216655,0.00594284,0.0489116,14,5
0.169922,0.533594,0.0202872,0.00602939,0.0489981,14,5
0.170898,0.53584,0.0191002,0.000252501,0.0490806,534,5
0.171875,0.537793,0.0189171,0.00326065,0.047206,14,5
0.172852,0.539062,0.0179836,0.00138199,0.0463039,534,5
0.173828,0.542676,0.0154174,0.00145251,0.0444213,534,5
0.174805,0.543262,0.0158746,0.00347224,0.0474176,534,5
0.175781,0.545898,0.0142772,0.00158184,0.0425975,534,5
0.176758,0.54668,0.0145938,0.000312397,0.0426564,534,5
0.177734,0.551367,0.0111737,0.000257319,0.0368521,534,5
0.178711,0.550977,0.012294,0.00272367,0.0359268,276,5
0.179688,0.55332,0.0109744,0.00179468,0.0359744,14,5
0.180664,0.552637,0.0126784,0.00183854,0.0360182,276,5
0.181641,0.553027,0.0133045,0.00187874,0.037035,276,5
0.182617,0.552734,0.0146106,0.00191529,0.0370715,276,5
0.183594,0.550391,0.0179639,0.00878418,0.0410107,276,5
0.18457,0.551562,0.0177979,0.00881356,0.0400636,276,5
0.185547,0.553027,0.0173355,0.00786283,0.0391128,276,5
0.186523,0.554395,0.0169672,0.00788515,0.0381586,445,5
0.1875,0.55332,0.0190368,0.007904,0.0430602,14,5
0.188477,0.554395,0.0189545,0.00889595,0.0440522,445,5
0.189453,0.555078,0.0192595,0.00890792,0.0440642,445,5
0.19043,0.555176,0.020147,0.0118462,0.0460259,445,5
0.191406,0.55752,0.018785,0.00989829,0.0421248,14,5
0.192383,0.558008,0.0192752,0.0108767,0.0421267,14,5
0.193359,0.55918,0.0190784,0.00892219,0.0382191,14,5
0.194336,0.560449,0.0187808,0.00891749,0.0362612,14,5
0.195312,0.560742,0.0194564,0.00793298,0.0362533,14,5
0.196289,0.561816,0.0193476,0.00694524,0.0352656,14,5
0.197266,0.561328,0.0207981,0.00790744,0.040134,14,5
0.198242,0.563965,0.0191204,0.0078899,0.0313274,14,445
0.199219,0.564746,0.019295,0.00591609,0.0313067,14,445
0.200195,0.565527,0.0194665,0.00589229,0.0303064,14,534
0.201172,0.572266,0.0136779,0.000982581,0.0263732,694,445
0.202148,0.573926,0.0137504,0.0038823,0.0234136,158,445
0.203125,0.573633,0.0142236,5.69531e-05,0.0253337,158,445
0.204102,0.574414,0.0143787,9.29801e-05,0.0243211,158,216
0.205078,0.576562,0.0135663,0.00208513,0.0242821,158,216
0.206055,0.57832,0.0127514,0.00212712,0.0242401,158,216
0.207031,0.582324,0.00973192,0.000218939,0.0202889,694,216
0.208008,0.585156,0.00862898,0.000266806,0.0192644,694,216
0.208984,0.58877,0.00667477,0.000317575,0.0143309,694,445
0.209961,0.589551,0.00619917,0.000371224,0.0142772,694,445
0.210938,0.587109,0.00825157,0.000427731,0.0191035,158,5
0.211914,0.587695,0.00879003,0.00146363,0.0219739,158,445
0.212891,0.587598,0.00961921,0.000549227,0.0267945,158,445
0.213867,0.587793,0.0102257,0.000362388,0.0316124,158,445
0.214844,0.590039,0.00935649,0.00029467,0.0295915,709,445
0.21582,0.590918,0.00926139,0.00120076,0.0314742,694,445
0.216797,0.592187,0.00927029,0.00180212,0.031401,14,445
0.217773,0.593457,0.0093224,7.50981e-05,0.0332782,694,445
0.21875,0.59248,0.0108384,3.49646e-06,0.0331996,709,445
0.219727,0.59248,0.0119609,8.47596e-05,0.0331184,709,445
0.220703,0.59834,0.00982955,0.000168672,0.025222,709,445
0.22168,0.600195,0.00976562,0.000255213,0.0231823,534,445
0.222656,0.601367,0.0101563,0.00132093,0.0230931,709,445
0.223633,0.60166,0.00958075,0.00141267,0.0249545,709,445
0.224609,0.602832,0.00867455,0.000446141,0.0248602,709,445
0.225586,0.607031,0.00820313,0.000627289,0.0228102,534,445
0.226562,0.606543,0.00796013,0.00024987,0.0227108,824,445
0.227539,0.607422,0.00745146,0.00014795,0.0226089,824,445
0.228516,0.610547,0.00663192,0.000933032,0.0205513,14,445
0.229492,0.611523,0.00684861,0.00103993,0.0223976,14,445
0.230469,0.612891,0.00703125,0.000803829,0.0222882,14,445
0.231445,0.612207,0.00668137,0.00166858,0.0221764,276,445
0.232422,0.614551,0.00693359,0.00155434,0.0210856,276,445
0.233398,0.616113,0.00645074,0.000461128,0.0209689,534,445
0.234375,0.618164,0.00630848,0.000634481,0.0159671,534,445
0.235352,0.619629,0.00738714,0.000755907,0.0168222,534,445
0.236328,0.620801,0.00746141,0.000879695,0.0196281,216,445
0.237305,0.622266,0.00802537,0.00100583,0.019502,216,445
0.238281,0.622168,0.00855919,0.00211085,0.0203501,824,445
0.239258,0.623926,0.00886451,0.000288507,0.0202193,216,445
0.240234,0.625,0.00767483,0.00139815,0.0200862,824,445
0.241211,0.626367,0.00803528,0.00041962,0.0189743,824,445
0.242188,0.627637,0.0083833,0.000281994,0.0198132,5,445
0.243164,0.627246,0.00749111,0.000142116,0.0196734,824,445
0.244141,0.628516,0.0078125,1.11022e-16,0.0195312,276,445
0.245117,0.630176,0.00783031,0.000144338,0.0245584,276,694
0.246094,0.632422,0.00988198,0.000685679,0.0247049,5,694
0.24707,0.633398,0.0101368,0.000536941,0.0248537,5,694
0.248047,0.634668,0.0102948,0.000386024,0.0250046,5,694
0.249023,0.636133,0.0104071,0.000743619,0.0232046,5,694
0.25,0.636523,0.00973454,7.77124e-05,0.0223832,5,694
0.250977,0.637598,0.00893451,0.00105622,0.0205875,5,158
0.251953,0.637793,0.00942083,0.000737418,0.0187938,276,694
0.25293,0.638184,0.00873654,0.000400742,0.0189554,276,694
0.253906,0.639746,0.00942069,0.000412127,0.0191191,5,694
0.254883,0.641504,0.0101554,0.000246353,0.0173318,5,694
0.255859,0.640918,0.00885531,7.85098e-05,0.0174996,709,694
0.256836,0.641406,0.00903921,0.00106795,0.0176695,276,694
0.257812,0.641602,0.00850377,0.00123989,0.0178415,276,694
0.258789,0.644141,0.0101359,0.00336699,0.0180154,276,694
0.259766,0.645703,0.0105969,0.0023164,0.0181914,5,694
0.260742,0.645605,0.0103751,0.00311498,0.0183694,709,694
0.261719,0.646875,0.00995882,0.000981868,0.0195259,709,694
0.262695,0.648145,0.00821146,0.000176655,0.0197079,709,694
0.263672,0.647656,0.00717548,0.000360582,0.0208684,824,694
0.264648,0.647266,0.00655461,0.000430098,0.0191012,5,694
0.265625,0.648145,0.00668983,0.000242273,0.0202655,709,694
0.266602,0.648926,0.00593602,5.25168e-05,0.016549,5,158
0.267578,0.649609,0.00633349,0.000139158,0.013811,5,158
0.268555,0.650098,0.00628544,0.0013093,0.0149812,709,694
0.269531,0.647949,0.00615234,0.00142491,0.0161532,824,694
0.270508,0.649609,0.00654023,0.000725581,0.0143975,824,694
0.271484,0.649414,0.00623965,5.17459e-05,0.0136201,14,694
0.272461,0.65293,0.00630974,0.000827211,0.0216337,445,694
0.273438,0.654395,0.00675435,0.000624263,0.0228132,158,694
0.274414,0.655078,0.00686346,0.000419475,0.023018,5,694
0.275391,0.65293,0.00503555,0.000763705,0.0193184,824,694
0.276367,0.65498,0.00478427,4.42304e-06,0.0195268,445,694
0.277344,0.653613,0.00556641,0.00215894,0.0158308,824,694
0.27832,0.654785,0.00537109,0.00153527,0.0160429,14,694
0.279297,0.655176,0.00615234,0.00132144,0.013327,158,694
0.280273,0.655566,0.00576172,0.00182385,0.012566,709,216
0.28125,0.655762,0.00577934,0.00106465,0.0127834,14,216
0.282227,0.658008,0.00611613,0.000669351,0.0130025,158,694
0.283203,0.65957,0.00567998,0.000448484,0.0151765,534,694
0.28418,0.66084,0.00606199,0.000225881,0.013446,534,694
0.285156,0.660547,0.00546844,1.55352e-06,0.0146469,534,694
0.286133,0.662402,0.00595703,0.000752073,0.0178026,158,694
