INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.00390625,0.215234,0.0577442,0.0221974,0.112041,75,74
0.0078125,0.222266,0.0303956,0.00701888,0.0750124,108,74
0.0117188,0.242578,0.0307439,0.0122963,0.0658287,116,20
0.015625,0.246484,0.0292969,0.00390625,0.046875,241,20
0.0195312,0.269922,0.0292969,0.000226914,0.0588207,92,20
0.0234375,0.277734,0.0318451,0.0106964,0.0596161,106,8
0.0273438,0.302344,0.0274411,0.000486533,0.0581072,92,74
0.03125,0.309766,0.0258867,0.00533224,0.0571678,238,75
0.0351562,0.339062,0.029794,0.000532326,0.0708448,108,20
0.0390625,0.347266,0.0300781,0.0111772,0.070854,108,74
0.0429688,0.366016,0.0326834,0.00130758,0.0950576,116,74
0.046875,0.372656,0.0304687,0.00118739,0.0847501,116,74
0.0507812,0.391016,0.0311721,0.000781741,0.0906255,108,74
0.0546875,0.397266,0.0322884,0.00457362,0.0891764,108,74
0.0585938,0.41875,0.0357076,0.00222094,0.0881584,8,74
0.0625,0.432031,0.035181,0.00158724,0.091431,92,74
0.0664062,0.435937,0.0315076,0.00129852,0.087236,108,74
0.0703125,0.438281,0.0299518,0.00258466,0.0833528,75,74
0.0742188,0.434375,0.0284506,0.00162807,0.0719406,106,20
0.078125,0.454688,0.0325661,0.00171274,0.0998498,92,20
0.0820312,0.460547,0.0316942,0.00299667,0.0967467,92,20
0.0859375,0.472656,0.0329027,0.00401896,0.0899565,106,20
0.0898438,0.482422,0.0345409,0.00133777,0.0872753,106,20
0.09375,0.491406,0.0371261,0.00665735,0.0925949,106,20
0.0976562,0.496094,0.0355898,0.00433981,0.0902773,106,20
0.101562,0.504687,0.0381236,0.00999861,0.0803111,108,20
0.105469,0.510156,0.0376859,0.00409211,0.0783109,108,20
0.109375,0.514062,0.0358297,0.00223595,0.0764547,108,20
0.113281,0.519141,0.035281,0.00442167,0.0786404,108,20
0.117188,0.526953,0.0375947,0.00282904,0.0848603,116,20
0.121094,0.534375,0.0396385,0.0013573,0.0833885,116,20
0.125,0.541406,0.0414063,0.00390625,0.0859375,75,20
0.128906,0.543359,0.0382044,0.0026575,0.07297,75,20
0.132812,0.544531,0.0348032,0.00151186,0.0679181,75,20
0.136719,0.543359,0.0312308,0.000464338,0.0668706,116,20
0.140625,0.545312,0.0294916,0.000489706,0.0620103,116,20
0.144531,0.550781,0.0294166,0.00135456,0.0611454,106,20
0.148438,0.554688,0.0280526,0.00177205,0.0564596,75,20
0.152344,0.55625,0.0293358,0.00107391,0.0635739,106,20
0.15625,0.564453,0.0350379,0.000453827,0.0707663,106,20
0.160156,0.567969,0.0351197,0.00399769,0.0780336,106,20
0.164062,0.576562,0.0371611,0.00334136,0.0814664,108,20
0.167969,0.580859,0.0365278,0.00293688,0.0849681,108,74
0.171875,0.589844,0.039579,0.0104112,0.0924425,108,74
0.175781,0.59375,0.0385783,0.0101369,0.0882619,108,74
0.179688,0.596875,0.0345018,0.00960718,0.0880491,75,74
0.183594,0.597656,0.0328164,0.00195801,0.0878955,106,74
0.1875,0.601562,0.0327393,0.00186163,0.0838929,106,74
0.191406,0.612109,0.0409095,0.0135392,0.0838517,106,74
0.195312,0.619922,0.0448255,0.0135514,0.0838639,106,74
0.199219,0.636719,0.0546421,0.00982234,0.0995527,75,74
0.203125,0.635547,0.0496549,0.00970867,0.0957601,75,74
0.207031,0.632812,0.0431439,0.00217206,0.0881096,108,20
0.210938,0.635547,0.0424441,0.00152539,0.0883184,108,20
0.214844,0.633984,0.0394716,0.00908373,0.0846663,75,20
0.21875,0.638281,0.0367215,0.00487932,0.0849644,75,20
0.222656,0.643359,0.0381661,0.00327405,0.0892116,108,20
0.226562,0.649609,0.0408157,0.00365638,0.0895939,108,20
0.230469,0.659375,0.0462665,0.00407898,0.0900165,108,20
0.234375,0.661719,0.0451657,0.000634481,0.0826657,108,20
0.238281,0.676562,0.056603,0.00894679,0.102697,75,20
0.242188,0.680469,0.0571399,0.00948363,0.0993274,75,20
0.246094,0.680469,0.0538065,0.0100565,0.080369,75,241
0.25,0.680078,0.0503285,0.00105427,0.080977,108,241
0.253906,0.684766,0.051541,0.00349412,0.0816191,108,241
0.257812,0.685937,0.0494821,0.0119821,0.0744821,108,20
0.261719,0.689063,0.0494088,0.00878376,0.07519,108,20
0.265625,0.695703,0.0528827,0.0134296,0.0798359,108,20
0.269531,0.697266,0.0513095,0.0142001,0.0767001,108,20
0.273438,0.698047,0.0489851,0.0110945,0.081407,108,238
0.277344,0.701953,0.0498152,0.000205819,0.0861433,108,20
0.28125,0.700391,0.0457736,0.0028416,0.0870022,108,20
0.285156,0.701172,0.0441394,0.00586093,0.0800766,108,238
0.289062,0.705078,0.0448709,0.00494656,0.0731784,108,20
0.292969,0.708203,0.0440613,9.91057e-05,0.0858384,108,20
0.296875,0.714063,0.0469621,0.0125871,0.0985246,116,20
0.300781,0.711328,0.0413146,0.00186145,0.0838927,92,20
0.304688,0.714063,0.0411609,0.00287967,0.0849109,92,20
0.308594,0.716797,0.0410319,0.011735,0.074235,92,238
0.3125,0.717578,0.0389737,0.0128018,0.0753018,92,238
0.316406,0.719141,0.0377204,0.0138923,0.072486,108,238
0.320312,0.71875,0.034537,0.00328704,0.0696933,108,20
0.324219,0.721094,0.0341107,0.00442317,0.0708294,108,20
0.328125,0.722266,0.0325346,0.00558146,0.0641752,108,20
0.332031,0.726172,0.0337146,0.0106677,0.0653552,108,20
0.335938,0.730078,0.0349159,0.011869,0.0665565,108,20
0.339844,0.733203,0.0358636,0.00253377,0.0755912,92,20
0.34375,0.734375,0.0341234,0.00129108,0.0768339,92,20
0.347656,0.736719,0.0335711,2.8291e-05,0.0741905,92,20
0.351562,0.736719,0.0314721,0.00265202,0.0715667,92,20
0.355469,0.739062,0.0306811,0.00255611,0.0728686,92,20
0.359375,0.744922,0.0339551,0.00778326,0.0741895,116,20
0.363281,0.754297,0.0407634,0.0130291,0.0872478,116,20
0.367188,0.757812,0.0417307,0.014387,0.100324,108,20
0.371094,0.765234,0.0466222,0.0157629,0.1017,108,20
0.375,0.767188,0.0460627,0.0132502,0.0913752,108,20
0.378906,0.769531,0.0459112,0.010755,0.0927862,108,20
0.382812,0.770312,0.0442143,0.012183,0.0864018,108,20
0.386719,0.771094,0.0425342,0.0214404,0.0878467,116,20
0.390625,0.772656,0.0416518,0.0229018,0.0854018,116,20
0.394531,0.773438,0.0400045,0.0243795,0.0829732,108,20
0.398438,0.775391,0.039545,0.0102481,0.0922793,92,20
