INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.00390625,0.0316406,0.12585,0.102803,0.141865,116,8
0.0078125,0.0390625,0.159363,0.139831,0.1828,116,8
0.0117188,0.0632812,0.163859,0.141203,0.191984,108,8
0.015625,0.0675781,0.182422,0.160156,0.214844,108,8
0.0195312,0.0949219,0.174382,0.144304,0.218523,20,8
0.0234375,0.104688,0.181491,0.14946,0.231491,20,8
0.0273438,0.132812,0.168455,0.129393,0.211424,108,8
0.03125,0.140625,0.174355,0.135293,0.197793,108,75
0.0351562,0.171875,0.155718,0.112749,0.19478,108,8
0.0390625,0.182422,0.15688,0.120552,0.186958,108,92
0.0429688,0.205469,0.144786,0.119786,0.194005,108,92
0.046875,0.215625,0.144937,0.114469,0.200406,108,92
0.0507812,0.238281,0.132031,0.100781,0.178906,116,92
0.0546875,0.246094,0.13348,0.106136,0.184261,116,92
0.0585938,0.276172,0.112232,0.0719978,0.17356,108,92
0.0625,0.291016,0.105835,0.064819,0.162475,108,92
0.0664062,0.294531,0.11042,0.0807327,0.16667,116,92
0.0703125,0.294922,0.117819,0.0924284,0.170553,108,92
0.0742188,0.291016,0.129231,0.0843094,0.170247,8,92
0.078125,0.31875,0.108744,0.0642127,0.165775,20,92
0.0820312,0.325391,0.109113,0.0673158,0.161066,20,92
0.0859375,0.344531,0.0967623,0.0545748,0.140512,20,92
0.0898438,0.355078,0.0928029,0.057256,0.139287,20,92
0.09375,0.366016,0.0882645,0.0519364,0.130061,20,92
0.0976562,0.371875,0.0886289,0.0542539,0.128473,20,92
0.101562,0.385156,0.0814076,0.0642201,0.111095,20,92
0.105469,0.391406,0.0810641,0.0623141,0.109189,20,106
0.109375,0.395313,0.0829203,0.0641703,0.107139,20,92
0.113281,0.401172,0.0826877,0.0619846,0.10886,20,92
0.117188,0.411328,0.0780303,0.0401397,0.110452,20,92
0.121094,0.421094,0.0736427,0.0377052,0.104111,20,106
0.125,0.427734,0.0722656,0.0273437,0.0976562,20,106
0.128906,0.430469,0.0746863,0.0442175,0.098905,20,106
0.132812,0.432422,0.077785,0.0414569,0.100051,20,106
