INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.200586,0.101373,0.0980531,0.104889,5,216
0.00195312,0.202344,0.0773438,0.0722656,0.0810547,5,445
0.00292969,0.206934,0.0638443,0.0590592,0.0698013,709,216
0.00390625,0.207715,0.0502247,0.0446583,0.0563771,709,216
0.00488281,0.213672,0.0440208,0.0383567,0.0530051,709,14
0.00585938,0.216016,0.0357344,0.0296797,0.0443282,709,14
0.00683594,0.220508,0.030721,0.0250569,0.0367757,709,14
0.0078125,0.221191,0.0227663,0.0173952,0.0291139,709,14
0.00878906,0.22207,0.0156999,0.00944986,0.0231217,709,14
0.00976562,0.223828,0.0100811,0.00304988,0.0186749,709,14
0.0107422,0.22832,0.0080529,5.6354e-05,0.0166579,534,276
0.0117188,0.229297,0.00672042,0.00137555,0.0111412,158,276
0.0126953,0.234863,0.00617564,0.00402274,0.0118352,158,276
0.0136719,0.237305,0.00622172,0.000835148,0.0115773,445,824
0.0146484,0.242871,0.00801788,0.00346829,0.0132339,158,824
0.015625,0.243652,0.00908203,2.77556e-17,0.0175781,694,824
0.0166016,0.248535,0.00921441,0.00119719,0.0197519,276,824
0.0175781,0.249121,0.0122076,0.00219798,0.0236824,694,824
0.0185547,0.253418,0.0128654,9.05365e-05,0.0274343,694,824
0.0195312,0.254785,0.0153458,0.00367934,0.0300465,694,824
0.0205078,0.258887,0.0149721,0.000694116,0.0305559,14,824
0.0214844,0.261035,0.0169624,0.00260689,0.0338569,14,824
0.0224609,0.266797,0.0159522,0.00300891,0.0301942,14,709
0.0234375,0.267578,0.0186004,4.57481e-05,0.0342254,14,709
0.0244141,0.273047,0.017431,0.00189289,0.0313102,14,709
0.0253906,0.274707,0.0192098,0.00192465,0.0331746,14,709
0.0263672,0.275781,0.0218564,0.00369238,0.0359189,14,709
0.0273438,0.276953,0.0243147,0.00634591,0.0385725,14,709
0.0283203,0.283203,0.0216093,0.00305462,0.0362577,14,445
0.0292969,0.285254,0.0230226,0.00358901,0.0387453,14,445
0.0302734,0.292285,0.0197417,0.00181213,0.0352972,14,445
0.03125,0.292578,0.022492,0.000449425,0.0386131,14,445
0.0322266,0.299414,0.0192306,0.00208479,0.0360011,14,445
0.0332031,0.299707,0.0217032,0.000121136,0.0372305,14,445
0.0341797,0.305957,0.0185739,0.00226526,0.0325387,14,445
0.0351562,0.304395,0.0231981,0.00435049,0.0346239,14,445
0.0361328,0.308301,0.0222975,0.00344984,0.0346998,14,445
0.0371094,0.309863,0.0236869,0.00542521,0.0376518,14,445
0.0380859,0.316406,0.0200445,0.00344298,0.0327399,14,445
0.0390625,0.317285,0.022017,0.00531783,0.0346147,14,445
0.0400391,0.319336,0.0227705,0.0081221,0.0364424,14,445
0.0410156,0.320898,0.0239671,0.00892802,0.0362718,14,824
0.0419922,0.324609,0.0229717,0.00480767,0.0341045,14,824
0.0429688,0.326562,0.0236924,0.00357523,0.0367784,14,824
0.0439453,0.32832,0.0245682,0.00523226,0.0394119,14,709
0.0449219,0.330371,0.0251123,0.00685056,0.0410302,14,709
0.0458984,0.334961,0.02308,0.00647839,0.0406581,14,709
0.046875,0.335645,0.0249179,0.00802333,0.0431796,14,709
0.0478516,0.341113,0.0219358,0.00367411,0.04176,14,709
0.0488281,0.344141,0.0213616,0.00417409,0.0403069,14,709
0.0498047,0.35,0.0179228,0.00171189,0.034915,14,709
0.0507812,0.35127,0.0190425,0.00410107,0.0363276,14,709
0.0517578,0.355762,0.016909,0.000600435,0.0347801,14,709
0.0527344,0.356445,0.0185547,0.00195312,0.0361328,14,709
0.0537109,0.362402,0.0150241,0.000629016,0.0315975,14,709
0.0546875,0.363672,0.0159636,0.000309191,0.0338705,14,709
0.0556641,0.368945,0.0138542,0.000960297,0.0322103,216,709
0.0566406,0.371191,0.0145559,0.0012271,0.0334537,534,709
0.0576172,0.376172,0.0121109,0.00146115,0.0278357,276,709
