INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.200781,0.101569,0.0990296,0.104889,5,216
0.00195312,0.202344,0.0773438,0.0742188,0.0810547,5,216
0.00292969,0.206836,0.0637467,0.0600357,0.0698013,5,216
0.00390625,0.20752,0.0500294,0.0456349,0.0563771,5,216
0.00488281,0.213867,0.0442161,0.0403098,0.0530051,445,14
0.00585938,0.216113,0.0358321,0.0316329,0.0443282,709,14
0.00683594,0.220703,0.0309163,0.0231038,0.0406819,534,694
0.0078125,0.221387,0.0229616,0.0154421,0.0330202,534,694
0.00878906,0.222168,0.0157975,0.00749673,0.0250749,534,694
0.00976562,0.223633,0.00988582,0.000120194,0.0216046,534,694
0.0107422,0.227441,0.00813928,5.6354e-05,0.0225173,709,694
0.0117188,0.228613,0.00743973,0.00155414,0.0170006,445,694
0.0126953,0.23457,0.00666392,0.00011649,0.0167181,445,694
0.0136719,0.237012,0.0082725,0.00209454,0.014507,216,824
0.0146484,0.242871,0.00977569,0.00336765,0.0150864,216,14
0.015625,0.243555,0.0109375,0.000976562,0.0175781,216,824
0.0166016,0.248535,0.0117535,0.00315032,0.0177988,276,824
0.0175781,0.249219,0.0144047,0.00708079,0.0227058,276,824
0.0185547,0.253711,0.0152887,0.00594991,0.0254812,276,824
0.0195312,0.254883,0.0172467,0.00706285,0.0300465,14,824
0.0205078,0.259863,0.0168687,0.00557693,0.0295793,14,824
0.0214844,0.262109,0.0177751,0.00227593,0.0309272,14,824
0.0224609,0.267969,0.0169447,0.00578015,0.0282411,276,709
0.0234375,0.26875,0.0189728,0.00288394,0.0312957,694,709
0.0244141,0.274316,0.0175166,0.00189289,0.0322868,694,445
0.0253906,0.275879,0.0188249,0.000948086,0.0351278,694,445
0.0263672,0.276758,0.0213133,0.00216699,0.0388486,14,445
0.0273438,0.277734,0.0235334,0.000486533,0.0415022,14,445
0.0283203,0.28457,0.0208031,0.00280475,0.0411406,14,445
0.0292969,0.286816,0.0219142,0.00227037,0.0446046,14,445
0.0302734,0.29375,0.0194487,0.000140997,0.0421332,694,445
0.03125,0.294141,0.0221014,0.00248026,0.0444724,694,445
0.0322266,0.301465,0.0197452,0.00279802,0.0418605,276,445
0.0332031,0.301855,0.0214594,0.00280855,0.0430899,694,445
0.0341797,0.308105,0.0182537,0.00261756,0.0383981,694,445
0.0351562,0.30625,0.0222304,0.000444237,0.0404833,694,445
0.0361328,0.310156,0.0215099,0.00149672,0.0395827,694,445
0.0371094,0.312207,0.0221028,0.000434169,0.041558,694,445
0.0380859,0.318457,0.0195463,0.0024164,0.0366461,14,445
0.0390625,0.319727,0.0203782,0.000541548,0.038521,14,445
0.0400391,0.321777,0.0208532,0.00128617,0.0403487,14,445
0.0410156,0.324219,0.0208143,0.00013896,0.0382249,14,445
0.0419922,0.328418,0.0201698,0.0010517,0.0341045,694,158
0.0429688,0.330762,0.0206022,0.000331021,0.0348252,694,158
0.0439453,0.332422,0.021178,0.00132601,0.0374588,694,158
0.0449219,0.33457,0.0213008,0.0019385,0.0361474,14,709
0.0458984,0.338477,0.0198312,0.00133411,0.0347987,14,709
0.046875,0.339258,0.0213046,0.00021083,0.0363436,14,709
0.0478516,0.344238,0.0196385,0.00269755,0.0339475,694,709
0.0488281,0.346973,0.0192572,0.00363841,0.033471,14,445
0.0498047,0.352441,0.0169451,0.00121779,0.034915,694,445
0.0507812,0.353613,0.017441,0.00117138,0.0353511,694,445
0.0517578,0.357812,0.0165712,0.00135269,0.0357567,694,445
