INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.255664,0.156451,0.153717,0.1586,14,445
0.00195312,0.256934,0.131934,0.129883,0.135742,5,445
0.00292969,0.262891,0.119801,0.116676,0.124489,14,824
0.00390625,0.26377,0.106279,0.103252,0.110088,276,824
0.00488281,0.269824,0.100173,0.0969505,0.104763,276,824
0.00585938,0.27207,0.0917891,0.0892501,0.096086,216,824
0.00683594,0.276074,0.0862874,0.0826741,0.0914632,14,824
0.0078125,0.277051,0.0786256,0.0750124,0.0838014,14,824
0.00878906,0.278027,0.0716569,0.0660905,0.0768327,216,824
0.00976562,0.279785,0.0660382,0.0616436,0.0704327,216,824
0.0107422,0.283789,0.0631423,0.056697,0.0703689,534,276
0.0117188,0.285254,0.0581138,0.0511802,0.0658287,534,276
0.0126953,0.290137,0.0568548,0.0499212,0.0645696,5,276
0.0136719,0.292187,0.0530711,0.0450633,0.0597117,5,276
0.0146484,0.297559,0.0528794,0.0443833,0.0580551,5,276
0.015625,0.297656,0.0476563,0.0400391,0.0537109,5,276
0.0166016,0.302832,0.0477286,0.040795,0.0515372,5,694
0.0175781,0.304004,0.0439934,0.0378411,0.0476067,5,709
0.0185547,0.308301,0.0435618,0.0370188,0.0497142,5,276
0.0195312,0.309961,0.0406566,0.0324535,0.0461254,534,276
0.0205078,0.313965,0.0402449,0.0319441,0.0475691,5,694
0.0214844,0.316406,0.0384087,0.0286431,0.0471978,5,276
0.0224609,0.321777,0.03963,0.0283995,0.0479308,5,824
0.0234375,0.321973,0.0357941,0.0253449,0.0438996,5,276
0.0244141,0.327539,0.0374398,0.0282601,0.0487679,445,276
0.0253906,0.329199,0.0352824,0.0254191,0.0459269,445,276
0.0263672,0.330273,0.0326357,0.0216982,0.0422061,445,824
0.0273438,0.332227,0.0309588,0.0190447,0.0405291,445,824
0.0283203,0.338379,0.0335665,0.0194063,0.0428438,445,824
0.0292969,0.340527,0.0322508,0.0169188,0.0413329,445,824
0.0302734,0.344922,0.0332574,0.0184137,0.0408746,445,824
0.03125,0.345703,0.0307229,0.0150979,0.0404885,445,276
0.0322266,0.352148,0.0339207,0.0167332,0.0460301,445,276
0.0332031,0.352539,0.0311289,0.0155039,0.0399179,445,694
0.0341797,0.357812,0.0332816,0.0182426,0.0416801,445,709
0.0351562,0.356836,0.0292433,0.0161573,0.0386183,445,276
0.0361328,0.361035,0.0304369,0.017058,0.0385423,445,694
0.0371094,0.363184,0.0296334,0.0160592,0.0394967,445,694
0.0380859,0.368945,0.0324945,0.019018,0.0424555,445,694
0.0390625,0.369531,0.030229,0.0161665,0.039604,445,694
0.0400391,0.371777,0.0296709,0.0143388,0.0387529,445,694
0.0410156,0.372559,0.0276931,0.0125564,0.0340407,445,694
0.0419922,0.376953,0.029372,0.0176533,0.036208,534,824
0.0429688,0.378809,0.0285537,0.0169326,0.0374404,534,276
0.0439453,0.37959,0.0267013,0.0172287,0.0357834,445,276
0.0449219,0.380762,0.0252783,0.0185401,0.0322119,445,276
0.0458984,0.386621,0.0285802,0.0208654,0.0364904,445,824
0.046875,0.386621,0.0260587,0.0193204,0.0339689,445,824
0.0478516,0.391699,0.0286501,0.0226931,0.0383181,445,824
0.0488281,0.393652,0.0281501,0.02024,0.0378181,445,824
0.0498047,0.398047,0.030124,0.0178194,0.0393037,445,824
0.0507812,0.398242,0.0279302,0.0154302,0.0378911,445,824
0.0517578,0.401758,0.0290871,0.0160011,0.0374855,445,824
0.0527344,0.403223,0.0282227,0.0146484,0.0390625,445,824
0.0537109,0.408496,0.0311954,0.0143009,0.0435978,445,824
0.0546875,0.410254,0.0306803,0.0130045,0.0423014,445,824
0.0556641,0.416016,0.034196,0.0175944,0.0449381,445,824
0.0566406,0.41709,0.0330502,0.0183041,0.0417416,445,824
0.0576172,0.421973,0.0357385,0.0180627,0.046383,445,824
0.0585938,0.42207,0.0336662,0.0158928,0.04226,445,824
0.0595703,0.426563,0.0360125,0.0205828,0.0459735,445,824
0.0605469,0.42832,0.0356477,0.0204134,0.0467805,445,824
0.0615234,0.429199,0.0344267,0.01929,0.0456572,445,824
0.0625,0.429688,0.0328372,0.0181888,0.044556,445,824
0.0634766,0.430176,0.0312693,0.0161325,0.0434763,445,824
0.0644531,0.431348,0.0304059,0.0160504,0.0424176,445,824
0.0654297,0.432031,0.0290746,0.013059,0.0413793,445,824
0.0664062,0.432715,0.0277634,0.00911102,0.040361,445,824
0.0673828,0.437402,0.0304755,0.0110419,0.0461981,445,824
0.0683594,0.440332,0.0314487,0.010062,0.0461948,445,824
0.0693359,0.444141,0.0333195,0.0139835,0.0452335,445,824
0.0703125,0.443066,0.0303255,0.0130403,0.0423372,445,824
0.0712891,0.443262,0.0286188,0.0130914,0.0404352,445,694
0.0722656,0.442773,0.0262457,0.00827696,0.0365973,445,14
0.0732422,0.445801,0.0274052,0.0112919,0.0376591,445,709
0.0742188,0.447266,0.0270187,0.0113937,0.0377609,445,709
0.0751953,0.45127,0.0291874,0.017371,0.0388554,445,694
0.0761719,0.452539,0.0286376,0.0175048,0.0389892,445,694
0.0771484,0.458301,0.0325955,0.0205838,0.040115,445,694
0.078125,0.460352,0.0328576,0.0207482,0.0393029,445,694
0.0791016,0.462695,0.0334275,0.0199509,0.0394822,445,14
0.0800781,0.463672,0.0326447,0.0191682,0.0386994,445,14
0.0810547,0.465918,0.0331457,0.0164465,0.0408606,445,694
0.0820312,0.466797,0.0322935,0.0166685,0.0410826,445,709
0.0830078,0.469824,0.0336035,0.0188574,0.044248,445,709
0.0839844,0.47168,0.0337549,0.0181299,0.0454737,445,709
0.0849609,0.476562,0.0369469,0.0222985,0.0525719,445,709
0.0859375,0.478613,0.0373197,0.0255033,0.0528471,445,709
0.0869141,0.480566,0.0376076,0.0257912,0.0521584,445,709
0.0878906,0.481543,0.0369313,0.0251149,0.0524586,445,709
0.0888672,0.482715,0.0364625,0.0264039,0.0517946,445,709
0.0898438,0.484082,0.036201,0.0257518,0.052119,445,709
0.0908203,0.489844,0.0403459,0.0290177,0.057338,5,709
0.0917969,0.49248,0.0413772,0.0283889,0.0606155,5,709
0.0927734,0.497266,0.0445683,0.028748,0.0639043,5,709
0.09375,0.494238,0.0399581,0.0242355,0.0603683,5,709
0.0947266,0.494922,0.0390698,0.0226636,0.0597729,5,709
0.0957031,0.495703,0.0382899,0.0201258,0.0611415,5,709
0.0966797,0.498633,0.039669,0.021505,0.0605675,5,709
0.0976562,0.500586,0.040082,0.0219179,0.0609804,5,709
0.0986328,0.502051,0.0400169,0.0213646,0.0604271,5,709
0.0996094,0.503516,0.0399619,0.0217978,0.0598838,5,709
0.100586,0.504883,0.0398191,0.0183348,0.0613035,5,709
0.101562,0.505664,0.0391002,0.0178111,0.0607799,5,709
0.102539,0.506738,0.0386838,0.017297,0.0602658,5,709
0.103516,0.507227,0.0376908,0.0167924,0.0617143,5,709
0.104492,0.512207,0.0411994,0.0182502,0.0651252,5,709
0.105469,0.512695,0.0402249,0.017764,0.064639,5,709
0.106445,0.515625,0.0417008,0.0192399,0.0631852,5,709
